No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
1,J0002+6216,cwp+17,00:02:58.17,0.02,cwp+17,+62:16:09.4,0.1,cwp+17,0.742375,62.26927777777777
2,J0006+1834,cnt96,00:06:04.8,0.2,cn95,+18:34:59,4.0,cn95,1.52,18.583055555555557
3,J0007+7303,aaa+09c,00:07:01.7,0.2,awd+12,+73:03:07.4,0.8,awd+12,1.757083333333333,73.05205555555555
5,J0012+5431,dcm+23,00:12:23.3,0.1,dcm+23,+54:31:47,3.0,dcm+23,3.097083333333333,54.52972222222222
6,J0014+4746,dth78,00:14:17.75,0.04,hlk+04,+47:46:33.4,0.3,hlk+04,3.5739583333333327,47.77594444444444
7,J0021-0909,clh+20,00:21:51.47,0.03,clh+20,-09:09:58.7,1.1,clh+20,5.464458333333333,-9.166305555555557
8,J0023+0923,hrm+11,00:23:16.877498,7e-06,aab+21a,+09:23:23.8604,0.00023,aab+21a,5.820322908333333,9.389961222222222
9,J0024-7204aa,phl+16,00:24:05.67,0.0,mam+06,-72:04:52.62,0.0,mam+06,6.023624999999999,-72.08128333333333
10,J0024-7204ab,phl+16,00:24:08.1615,0.0005,frk+17,-72:04:47.602,0.002,frk+17,6.034006249999999,-72.07988944444445
11,J0024-7204ac,rgf+21,00:24:05.67,0.0,har10a,-72:04:05,0.0,har10a,6.023624999999999,-72.06805555555555
12,J0024-7204ad,rgf+21,00:24:05.67,0.0,har10a,-72:04:05,0.0,har10a,6.023624999999999,-72.06805555555555
13,J0024-7204C,mld+90,00:23:50.3546,0.0001,frk+17,-72:04:31.5048,0.0004,frk+17,5.959810833333333,-72.075418
14,J0024-7204D,mlr+91,00:24:13.88092,6e-05,frk+17,-72:04:43.8524,0.0002,frk+17,6.057837166666666,-72.07884788888889
15,J0024-7204E,mlr+91,00:24:11.10528,5e-05,frk+17,-72:05:20.1492,0.0002,frk+17,6.046271999999999,-72.08893033333332
16,J0024-7204F,mlr+91,00:24:03.85547,0.0001,frk+17,-72:04:42.8183,0.0002,frk+17,6.016064458333333,-72.07856063888889
17,J0024-7204G,rlm+95,00:24:07.9603,0.0001,frk+17,-72:04:39.7030,0.0005,frk+17,6.033167916666667,-72.07769527777778
18,J0024-7204H,mlr+91,00:24:06.7032,0.0002,frk+17,-72:04:06.8067,0.0006,frk+17,6.02793,-72.06855741666666
19,J0024-7204I,mlr+91,00:24:07.9347,0.0002,frk+17,-72:04:39.6815,0.0007,frk+17,6.033061249999999,-72.07768930555555
20,J0024-7204J,mlr+91,00:23:59.4077,0.0001,frk+17,-72:03:58.7908,0.0005,frk+17,5.997532083333334,-72.06633077777778
21,J0024-7204L,rlm+95,00:24:03.7721,0.0003,frk+17,-72:04:56.923,0.002,frk+17,6.015717083333333,-72.08247861111111
22,J0024-7204M,mlr+91,00:23:54.4899,0.0003,frk+17,-72:05:30.756,0.002,frk+17,5.977041249999999,-72.09187666666666
23,J0024-7204N,rlm+95,00:24:09.1880,0.0002,frk+17,-72:04:28.8907,0.0007,frk+17,6.038283333333333,-72.0746918611111
24,J0024-7204O,clf+00,00:24:04.65254,6e-05,frk+17,-72:04:53.7670,0.0002,frk+17,6.019385583333333,-72.08160194444444
26,J0024-7204Q,clf+00,00:24:16.4909,0.0001,frk+17,-72:04:25.1644,0.0006,frk+17,6.068712083333333,-72.07365677777777
27,J0024-7204R,clf+00,00:24:07.5851,0.0002,frk+17,-72:04:50.3954,0.0005,frk+17,6.031604583333333,-72.08066538888889
28,J0024-7204S,clf+00,00:24:03.9794,0.0001,frk+17,-72:04:42.3530,0.0004,frk+17,6.016580833333333,-72.07843138888889
29,J0024-7204T,clf+00,00:24:08.5491,0.0005,frk+17,-72:04:38.932,0.003,frk+17,6.035621249999999,-72.07748111111111
30,J0024-7204U,clf+00,00:24:09.8366,0.0001,frk+17,-72:03:59.6882,0.0004,frk+17,6.040985833333333,-72.06658005555555
31,J0024-7204V,clf+00,00:24:05.67,0.0,mam+06,-72:04:52.62,0.0,mam+06,6.023624999999999,-72.08128333333333
32,J0024-7204W,clf+00,00:24:06.058,0.001,rft+16,-72:04:49.088,0.002,rft+16,6.025241666666666,-72.08030222222222
33,J0024-7204X,fre08,00:24:22.38565,9e-05,rft+16,-72:01:17.4414,0.0007,rft+16,6.093273541666666,-72.0215115
34,J0024-7204Y,frk+17,00:24:01.4026,0.0001,frk+17,-72:04:41.8363,0.0004,frk+17,6.005844166666667,-72.07828786111111
35,J0024-7204Z,frk+17,00:24:06.041,0.002,frk+17,-72:05:01.480,0.006,frk+17,6.025170833333333,-72.08374444444443
36,J0026-1955,mss+20,00:26:36,0.0,mbs+22,-19:55:59,0.0,mbs+22,6.6499999999999995,-19.93305555555556
37,J0026+6320,jml+09,00:26:50.561,0.008,jml+09,+63:20:00.87,0.05,jml+09,6.7106708333333325,63.333575
38,J0030+0451,lzb+00,00:30:27.42750,3.8e-05,aab+21a,+04:51:39.7116,0.0013,aab+21a,7.6142812499999994,4.861031
39,J0033+57,hrk+08,00:33,0.0,hrk+08,+57,0.0,hrk+08,8.25,57.0
40,J0033+61,hrk+08,00:33,0.0,hrk+08,+61,0.0,hrk+08,8.25,61.0
41,J0034-0534,bhl+94,00:34:21.83422,8e-05,dcl+16,-05:34:36.722,0.003,dcl+16,8.590975916666666,-5.576867222222222
42,J0034-0721,lvw69a,00:34:08.8703,0.0001,cbv+09,-07:21:53.409,0.002,cbv+09,8.536959583333333,-7.364835833333333
43,J0034+69,slr+14,00:34,3.0,slr+14,+69:43,18.0,slr+14,8.499999999999998,69.71666666666667
44,J0036-1033,sbs+21,00:36:15.01,0.04,sbs+21,-10:33:14.2,0.9,sbs+21,9.062541666666664,-10.553944444444445
45,J0038-2501,acd+19,00:38:10.264,0.01,acd+19,-25:01:30.73,0.02,acd+19,9.542766666666665,-25.02520277777778
46,J0039+35,scb+19,00:39:06,12.0,scb+19,+35:45,3.0,scb+19,9.775,35.75
47,J0040+5716,dtws85,00:40:32.3899,0.0001,dgb+19,+57:16:24.833,0.001,dgb+19,10.134957916666666,57.27356472222222
49,J0045-7042,mfl+06,00:45:25.69,0.17,mfl+06,-70:42:07.1,1.3,mfl+06,11.357041666666666,-70.70197222222222
50,J0045-7319,mmh+91,00:45:35.16,0.07,kbm+96,-73:19:03.0,0.2,kbm+96,11.3965,-73.3175
51,J0048+3412,dtws85,00:48:33.98,0.021,hlk+04,+34:12:08.0,0.37,hlk+04,12.141583333333333,34.202222222222225
53,J0051+0423,snt97,00:51:30.1,0.2,snt97,+04:22:49,6.0,snt97,12.875416666666666,4.380277777777778
55,J0054+66,hrk+08,00:54,0.0,hrk+08,+66,0.0,hrk+08,13.499999999999998,66.0
57,J0054+6946,slr+14,00:54:59.116,0.0068,lsk+18,+69:46:16.85,0.035,lsk+18,13.746316666666665,69.77134722222222
58,J0055+5117,dtws85,00:55:45.3981,0.0001,dgb+19,+51:17:24.601,0.001,dgb+19,13.939158749999997,51.290166944444444
59,J0056+4756,dtws85,00:56:25.51,0.019,hlk+04,+47:56:10.5,0.23,hlk+04,14.106291666666666,47.936249999999994
60,J0057-7201,ckm+01,00:57:44.0,0.4,ckm+01,-72:01:19,2.0,ckm+01,14.433333333333332,-72.02194444444444
61,J0058+4950,slr+14,00:58:09.98,0.027,lsk+18,+49:50:26.0,0.23,lsk+18,14.541583333333332,49.84055555555556
62,J0058+6125,hrk+08,00:58,0.0,hrk+08,+61:25,0.0,hrk+08,14.499999999999998,61.416666666666664
63,J0058-7218,met+21,00:58:16.7,0.2,ofb+11,-72:18:06,1.0,ofb+11,14.56958333333333,-72.30166666666666
65,J0100-7211,lfmp02,01:00:43.03,0.11,mgr+05,-72:11:33.6,0.5,mgr+05,15.179291666666664,-72.19266666666667
66,J0100+8023,scb+19,01:00:16.09,0.01,tbc+20,+80:23:41.75,0.03,tbc+20,15.067041666666665,80.39493055555556
67,J0101-6422,kcj+12,01:01:11.1163,0.0002,kcj+12,-64:22:30.171,0.002,kcj+12,15.296317916666665,-64.3750475
68,J0102+4839,hrm+11,01:02:50.668,0.003,aab+22,+48:39:42.76,0.04,aab+22,15.711116666666667,48.661877777777775
69,J0102+6537,dbtb82,01:02:32.9914,0.0001,dgb+19,+65:37:13.416,0.001,dgb+19,15.637464166666668,65.62039333333333
71,J0104+64,mss+20,01:04,0.0,mss+20,+64,0.0,mss+20,15.999999999999998,64.0
72,J0106+4855,pga+12,01:06:25.06,0.01,pga+12,+48:55:51.8,0.2,pga+12,16.60441666666667,48.93105555555555
73,J0107+1322,scb+19,01:07:39.95,0.02,tbc+20,+13:22:31.7,0.8,tbc+20,16.916458333333335,13.375472222222223
74,J0108-1431,tnj+94,01:08:08.347016,8.8e-05,dtbr09,-14:31:50.1871,0.0011,dtbr09,17.034779233333328,-14.530607527777779
75,J0108+6608,dls72,01:08:22.5049,0.0003,dgb+19,+66:08:34.499,0.001,dgb+19,17.09377041666666,66.14291638888889
76,J0108+6905,dtws85,01:08:29.50,0.02,hlk+04,+69:05:52.63,0.11,hlk+04,17.122916666666665,69.09795277777778
77,J0109+11,tkt22,01:09,4.0,tkt22,+11:32,15.0,tkt22,17.249999999999996,11.533333333333333
78,J0110-22,mss+20,01:10,0.0,mss+20,-22,0.0,mss+20,17.5,-22.0
79,J0111+6624,slr+14,01:11:21.87,0.12,lsk+18,+66:24:10.8,0.61,lsk+18,17.841124999999998,66.403
80,J0111-7131,mfl+06,01:11:28.77,0.09,mfl+06,-71:31:46.8,0.6,mfl+06,17.869874999999997,-71.52966666666667
81,J0113-7220,ckm+01,01:13:11.09,0.03,ckm+01,-72:20:32.20,0.15,ckm+01,18.296208333333333,-72.34227777777777
82,J0115+6325,scb+19,01:15:45.87,0.01,mbc+20,+63:25:50.8,0.1,mbc+20,18.941124999999996,63.43077777777778
83,J0117+5914,stwd85,01:17:38.661,0.0026,hlk+04,+59:14:38.39,0.023,hlk+04,19.411087499999997,59.24399722222223
84,J0121+53,gac+21,01:21,11.0,gac+21,+53:29,16.0,gac+21,20.25,53.483333333333334
85,J0122+1416,ttk+17,01:22:01.31,0.03,mbc+20,+14:16:17,1.0,mbc+20,20.50545833333333,14.27138888888889
86,J0125-2327,mbc+19,01:25:10,0.0,mbc+19,-23:27:26,0.0,mbc+19,21.291666666666664,-23.45722222222222
87,J0125+62,slr+14,01:26,3.0,slr+14,+62:35,18.0,slr+14,21.499999999999996,62.583333333333336
88,J0131-7310,mfl+06,01:31:28.51,0.03,mfl+06,-73:10:09.34,0.13,mfl+06,22.868791666666663,-73.16926111111111
89,J0133-6957,lml+98,01:33:32.46,0.01,dsb+98,-69:57:29.68,0.03,dsb+98,23.38525,-69.95824444444445
90,J0134-2937,mld+96,01:34:18.6824,0.0003,lwy+16,-29:37:17.042,0.007,lwy+16,23.57784333333333,-29.621400555555557
91,J0137+1654,lxf+05,01:37:23.88,0.01,lxf+05,+16:54:42.1,0.4,lxf+05,24.349499999999995,16.911694444444443
92,J0137+6349,slr+14,01:37:13.365,0.017,lsk+18,+63:49:34.35,0.11,lsk+18,24.305687499999998,63.826208333333334
93,J0139+3336,ttm+18,01:39:57.23,0.04,mbc+20,+33:36:59.7,0.9,mbc+20,24.98845833333333,33.61658333333334
94,J0139+5621,cvh+14,01:39:38.56,0.02,cvh+14,+56:21:36.8,0.4,cvh+14,24.910666666666664,56.36022222222223
95,J0139+5814,dth78,01:39:19.7401,0.0012,cbv+09,+58:14:31.819,0.017,cbv+09,24.832250416666664,58.24217194444444
96,J0141+6009,mth72,01:41:39.938,0.0076,hlk+04,+60:09:32.30,0.067,hlk+04,25.416408333333333,60.15897222222222
97,J0141+63,slr+14,01:41,2.0,slr+14,+63:08,8.0,slr+14,25.249999999999996,63.13333333333333
99,J0146+6145,ims94,01:46:22.42,0.1,pkw+03,+61:45:02.8,0.7,pkw+03,26.593416666666663,61.75077777777778
100,J0147+5922,stwd85,01:47:44.6434,0.0001,dgb+19,+59:22:03.284,0.001,dgb+19,26.93601416666666,59.367578888888886
101,J0151-0635,mlt+78,01:51:22.7179,0.0002,dgb+19,-06:35:02.987,0.002,dgb+19,27.844657916666666,-6.584163055555555
102,J0152+0948,clm+05,01:52:23.73,0.05,clm+05,+09:48:10,2.0,clm+05,28.098875,9.802777777777779
103,J0152-1637,mlt+78,01:52:10.8539,0.0001,dgb+19,-16:37:53.641,0.002,dgb+19,28.04522458333333,-16.631566944444444
104,J0154+1833,mgf+19,01:54:36.88273,3e-05,mgf+19,+18:33:50.758,0.009,mgf+19,28.653678041666662,18.564099444444444
106,J0156+3949,dtws85,01:56:55.2,0.21,hlk+04,+39:49:29,4.1,hlk+04,29.229999999999997,39.82472222222223
107,J0157+6212,dls72,01:57:49.9434,0.0001,dgb+19,+62:12:26.648,0.001,dgb+19,29.458097499999997,62.20740222222223
109,J0201+7005,kkl+15,02:01:41.344,0.007,kkl+15,+70:05:18.11,0.06,kkl+15,30.422266666666665,70.08836388888888
110,J0203-0150,mzl+23,02:03:33.91215,4e-05,mzl+23,-01:50:01.5874,0.0009,mzl+23,30.891300624999992,-1.833774277777778
111,J0205+6449,mss+02,02:05:37.92247,0.00015,bkr+13,+64:49:41.3343,0.001,bkr+13,31.408010291666667,64.82814841666666
112,J0206-4028,mlt+78,02:06:01.293,0.005,jbv+19,-40:28:03.62,0.07,jbv+19,31.505387499999998,-40.46767222222223
113,J0209+5759,gac+21,02:09:37.304,0.016,gac+21,+57:59:45.31,0.18,gac+21,32.40543333333333,57.995919444444446
114,J0210+5845,scb+19,02:10:55.4,0.1,tbc+20,+58:45:04,1.0,tbc+20,32.73083333333333,58.75111111111111
115,J0211-8159,lml+98,02:11:59.0,0.3,dsb+98,-81:59:36.2,0.3,dsb+98,32.99583333333332,-81.99338888888889
116,J0212+5222,bck+13,02:12:52.138,0.006,lsk+18,+52:22:49.50,0.041,lsk+18,33.217241666666666,52.38041666666667
117,J0214+5222,slr+14,02:14:55.2713,0.0034,slr+14,+52:22:40.95,0.19,slr+14,33.73029708333333,52.37804166666667
118,J0215+6218,llc98,02:15:56.626,0.0095,hlk+04,+62:18:33.37,0.098,hlk+04,33.98594166666666,62.30926944444444
119,J0218+4232,nbf+95,02:18:06.358569,4e-06,dyc+14,+42:32:17.37515,8e-05,dyc+14,34.526494037499994,42.538159763888885
120,J0220+3626,ttol16,02:20:42.12,0.02,sbo+22,+36:26:55.7,0.2,sbo+22,35.17549999999999,36.44880555555555
121,J0227+3356,dcm+23,02:26:57.060,0.001,dcm+23,+33:56:27.76,0.07,dcm+23,36.73775,33.941044444444444
123,J0231+7026,dtws85,02:31:13.99,0.026,hlk+04,+70:26:33.88,0.17,hlk+04,37.80829166666666,70.44274444444444
126,J0243+6027,hrk+08,02:43,0.0,hrk+08,+60:27,0.0,hrk+08,40.75,60.45
128,J0248+4230,brj+21,02:48:31.003,0.001,brj+21,+42:30:20.49,0.05,brj+21,42.12917916666666,42.505691666666664
129,J0248+6021,tpc+11,02:48:18.617,0.001,tpc+11,+60:21:34.72,0.01,tpc+11,42.077570833333326,60.35964444444445
130,J0250+5854,tbc+18,02:50:17.78,0.03,tbc+18,+58:54:01.3,0.2,tbc+18,42.57408333333333,58.90036111111111
131,J0251+2606,cck+16,02:51:02.5537,0.0005,drc+21,+26:06:09.97,0.02,drc+21,42.76064041666667,26.102769444444444
132,J0255-5304,lvw69b,02:55:56.2925,0.0009,jbv+19,-53:04:21.275,0.009,jbv+19,43.98455208333332,-53.07257638888889
133,J0301+35,mgf+19,03:01,0.0,mgf+19,+35,0.0,mgf+19,45.24999999999999,35.0
134,J0302+2252,ttol16,03:02:31.990,0.004,mbc+20,+22:52:12.1,0.2,mbc+20,45.63329166666666,22.87002777777778
135,J0304+1932,fss73,03:04:33.115,0.016,hlk+04,+19:32:51.4,0.8,hlk+04,46.13797916666666,19.547611111111113
136,J0305+11,scb+19,03:05:06,12.0,scb+19,+11:23,3.0,scb+19,46.27499999999999,11.383333333333333
137,J0307+7443,hrm+11,03:07:55,0.0,aab+22,+74:43:12,0.0,aab+22,46.979166666666664,74.72
138,J0312-0921,trr+21,03:12:06.2,0.0,aab+22,-9:21:56,0.0,aab+22,48.02583333333333,-9.365555555555556
139,J0317+13,ttm18,03:17:54,12.0,scb+19,+13:29,3.0,scb+19,49.474999999999994,13.483333333333333
140,J0318+0253,wlz+18,03:18:15.541,0.001,wlc+21,+02:53:01.48,0.05,wlc+21,49.56475416666666,2.8837444444444444
141,J0323+3944,dth78,03:23:26.6619,0.0001,dgb+19,+39:44:52.403,0.001,dgb+19,50.861091249999994,39.747889722222226
142,J0324+5239,bck+13,03:24:55.46,0.04,bck+13,+52:39:31.3,0.2,bck+13,51.23108333333333,52.65869444444444
143,J0325+6744,slr+14,03:25:05.11,0.021,lsk+18,+67:44:59.39,0.11,lsk+18,51.27129166666666,67.74983055555556
144,J0329+1654,lxf+05,03:29:08.55,0.03,lxf+05,+16:54:02,2.0,lxf+05,52.28562499999999,16.900555555555552
145,J0332+5434,cp68,03:32:59.4096,0.0001,dgb+19,+54:34:43.329,0.001,dgb+19,53.247539999999994,54.578702500000006
146,J0335+4555,dtws85,03:35:16.6416,0.0001,dgb+19,+45:55:53.452,0.001,dgb+19,53.81934,45.93151444444444
147,J0335+6623,slr+14,03:35:57.06,0.13,lsk+18,+66:23:23.6,1.0,lsk+18,53.98774999999999,66.38988888888889
148,J0337+1715,rsa+14,03:37:43.82589,0.00013,rsa+14,+17:15:14.828,0.002,rsa+14,54.432607874999995,17.25411888888889
149,J0337+79,kkl+15,03:37:22,0.0,mss+20,+79:01:44,0.0,mss+20,54.34166666666666,79.02888888888889
150,J0340+4130,wmg+22,03:40:23.287961,1.1e-05,abb+18,+41:30:45.2911,0.00028,abb+18,55.09703317083333,41.51258086111111
151,J0341+5711,hrk+08,03:41,0.0,hrk+08,+57:11,0.0,hrk+08,55.25,57.18333333333333
152,J0343+06,mgf+19,03:43,0.0,mgf+19,+06,0.0,mgf+19,55.74999999999999,6.0
153,J0343-3000,bjd+06,03:43:27.94,0.03,bjd+06,-30:00:27.5,0.4,bjd+06,55.866416666666666,-30.007638888888888
154,J0343+5312,dth78,03:43:12.90,0.041,hlk+04,+53:12:53.4,0.63,hlk+04,55.803749999999994,53.21483333333334
155,J0344-0901,clh+20,03:44:37.471,0.002,clh+20,-09:01:02.66,0.1,clh+20,56.15612916666666,-9.017405555555557
156,J0348+0432,lbr+13,03:48:43.639000,4e-06,afw+13,+04:32:11.4580,0.0002,afw+13,57.18182916666666,4.536516111111111
157,J0349+2340,scb+19,03:49:57.38,0.04,mbc+20,+23:40:53,2.0,mbc+20,57.489083333333326,23.68138888888889
158,J0355+28,mss+20,03:55,0.0,mss+20,+28,0.0,mss+20,58.74999999999999,28.0
159,J0357-05,mss+20,03:57:56,0.0,mss+20,-05:09:44,0.0,mss+20,59.483333333333334,-5.162222222222223
160,J0357+3205,aaa+09c,03:57:52.5,0.2,rkp+11,+32:05:25,6.0,rkp+11,59.46875,32.09027777777778
161,J0357+5236,dtws85,03:57:44.8403,0.0002,dgb+19,+52:36:57.493,0.001,dgb+19,59.43683458333333,52.61597027777778
162,J0358+4155,slr+14,03:58:03.1746,0.0012,lsk+18,+41:55:19.03,0.021,lsk+18,59.51322749999999,41.921952777777776
163,J0358+5413,mth72,03:58:53.7238,0.0002,lwy+16,+54:13:13.784,0.003,lwy+16,59.72384916666666,54.22049555555556
164,J0358+6627,slr+14,03:58:37.929,0.0034,lsk+18,+66:27:46.57,0.022,lsk+18,59.6580375,66.46293611111112
165,J0359+5414,cwp+17,03:59:26.01,0.02,cwp+17,+54:14:55.7,0.3,cwp+17,59.858374999999995,54.248805555555556
166,J0401-7608,mlt+78,04:01:51.75,0.01,lbs+20,-76:08:12.95,0.05,lbs+20,60.465624999999996,-76.13693055555557
167,J0402+4825,ccl+21,04:02:40.633,0.009,ccl+21,+48:25:57.51,0.07,ccl+21,60.669304166666656,48.43264166666666
168,J0405+3347,mss+20,04:05,0.0,mss+20,+33,0.0,mss+20,61.249999999999986,33.0
169,J0406+30,mss+20,04:06,0.0,mss+20,+30,0.0,mss+20,61.499999999999986,30.0
170,J0406+6138,dth78,04:06:30.0806,0.0002,dgb+19,+61:38:41.408,0.001,dgb+19,61.625335833333324,61.64483555555555
171,J0407+1607,lxf+05,04:07:54.939,0.003,lxf+05,+16:07:16.4,0.2,lxf+05,61.978912499999986,16.121222222222222
172,J0408+551,hrk+08,04:08,0.0,hrk+08,+55,0.0,hrk+08,62.0,55.0
173,J0408+552,hrk+08,04:08,0.0,hrk+08,+55,0.0,hrk+08,62.0,55.0
175,J0413+58,hrk+08,04:13,0.0,hrk+08,+58,0.0,hrk+08,63.24999999999999,58.0
176,J0414+31,mss+20,04:14,0.0,mss+20,+31,0.0,mss+20,63.49999999999999,31.0
177,J0415+6954,dtws85,04:15:55.653,0.0034,hlk+04,+69:54:09.89,0.025,hlk+04,63.9818875,69.90274722222223
178,J0417+35,cnst96,04:17:43,16.0,cnst96,+35:45,5.0,cnst96,64.42916666666666,35.75
179,J0417+61,slr+14,04:17,3.0,slr+14,+61:08,18.0,slr+14,64.24999999999999,61.13333333333333
180,J0418-4154,bcm+16,04:18:03.7748,0.0004,lbs+20,-41:54:14.42,0.06,lbs+20,64.51572833333331,-41.90400555555556
181,J0418+5732,vck+10,04:18:33.867,0.043,vck+10,+57:32:22.91,0.35,vck+10,64.64111249999999,57.53969722222222
182,J0418+6635,trr+21,04:18:48.0,0.0,aab+22,+66:35:25,0.0,aab+22,64.69999999999999,66.59027777777777
183,J0419+44,hrk+08,04:19,0.0,hrk+08,+44,0.0,hrk+08,64.74999999999999,44.0
184,J0420-5022,hmz+04,04:20:01.95,0.04,hmz+04,-50:22:48.1,0.6,hmz+04,65.00812499999999,-50.38002777777778
185,J0421-0345,mld+96,04:21:33.556,0.015,hlk+04,-03:45:06.6,0.6,hlk+04,65.38981666666666,-3.7518333333333334
186,J0421+3255,ttol16,04:21:33.2,0.2,tbc+20,+32:55:50,10.0,tbc+20,65.38833333333332,32.93055555555555
187,J0426+4933,hrk+08,04:26:06.813,0.001,bck+13,+49:33:38.46,0.04,bck+13,66.5283875,49.56068333333333
188,J0435+2749,rtj+96,04:35:51.818,0.004,bfrs18,+27:49:01.7,0.4,bfrs18,68.96590833333332,27.817138888888888
189,J0437-4715,jlh+93,04:37:15.8961737,6e-07,rhc+16,-47:15:09.110714,7e-06,rhc+16,69.31623405708334,-47.25253075388889
190,J0447-04,kkl+15,04:47,1.0,kkl+15,-04:35,18.0,kkl+15,71.74999999999999,-4.583333333333333
191,J0448-2749,lml+98,04:48:41.567,0.0054,hlk+04,-27:49:46.74,0.11,hlk+04,72.17319583333332,-27.82965
192,J0449-7031,mfl+06,04:49:05.67,0.05,mfl+06,-70:31:31.7,0.3,mfl+06,72.27362499999998,-70.52547222222222
193,J0450-1248,mlt+78,04:50:08.781,0.003,hlk+04,-12:48:07.10,0.09,hlk+04,72.5365875,-12.801972222222222
195,J0452-1759,vlw69,04:52:34.1057,0.0001,cbv+09,-17:59:23.371,0.002,cbv+09,73.14210708333333,-17.98982527777778
196,J0453+1559,dsm+13,04:53:45.41368,5e-05,msf+15,+15:59:21.3063,0.0059,msf+15,73.43922366666665,15.98925175
197,J0454+4529,mhl+18,04:54:59.310,0.008,tbc+20,+45:29:46.7,0.1,tbc+20,73.747125,45.49630555555556
198,J0454+5543,dth78,04:54:07.7506,0.0001,cbv+09,+55:43:41.437,0.002,cbv+09,73.53229416666666,55.72817694444445
199,J0455-6951,mmh+91,04:55:47.55,0.08,ckm+01,-69:51:34.3,0.6,ckm+01,73.94812499999999,-69.85952777777777
200,J0456-69,rcl+13,04:56:30,0.0,rcl+13,-69:10,0.0,rcl+13,74.125,-69.16666666666667
201,J0456-7031,mfl+06,04:56:02.5,0.3,mfl+06,-70:31:06.6,1.2,mfl+06,74.01041666666666,-70.5185
203,J0457-6337,mfl+06,04:57:07.79,0.08,mfl+06,-63:37:30.4,0.9,mfl+06,74.28245833333332,-63.62511111111111
204,J0457-69,rcl+13,04:57:02,0.0,rcl+13,-69:46,0.0,rcl+13,74.25833333333333,-69.76666666666667
205,J0458-0505,lbr+13,04:58:37.121,0.026,lbr+13,-05:05:05.1,4.0,lbr+13,74.65467083333333,-5.08475
206,J0458-67,rcl+13,04:58:59,0.0,rcl+13,-67:43,0.0,rcl+13,74.74583333333332,-67.71666666666667
207,J0459-0210,mld+96,04:59:51.941,0.0067,hlk+04,-02:10:06.6,0.21,hlk+04,74.96642083333332,-2.1685
208,J0501+4516,gwk08,05:01:06.76,0.01,gwk+10,+45:16:33.92,0.11,gwk+10,75.27816666666665,45.276088888888886
209,J0502+4654,dth78,05:02:04.561,0.004,hlk+04,+46:54:06.09,0.09,hlk+04,75.51900416666666,46.901691666666665
210,J0502-6617,mmh+91,05:02:50.53,0.1,ckm+01,-66:17:58.8,0.9,ckm+01,75.71054166666666,-66.29966666666667
211,J0506+50,qpl+19,05:06:14.1,0.0,aab+22,+50:30:30,0.0,aab+22,76.55874999999999,50.50833333333333
212,J0509+0856,mgf+19,05:09:22.23485,1e-05,mgf+19,+08:56:25.0248,0.0008,mgf+19,77.34264520833334,8.940284666666667
213,J0509+37,tkt22,05:09,4.0,tkt22,+37:32,15.0,tkt22,77.25,37.53333333333333
214,J0509+3801,slr+14,05:09:31.7880,0.00026,lsk+18,+38:01:18.083,0.014,lsk+18,77.38244999999999,38.02168972222222
215,J0511-6508,mfl+06,05:11:56.50,0.02,mfl+06,-65:08:36.5,0.3,mfl+06,77.98541666666667,-65.14347222222223
216,J0514-4002A,fgri04,05:14:06.69271,0.0002,rfgr19,-40:02:48.8930,0.0019,rfgr19,78.52788629166665,-40.04691472222222
217,J0514-4002B,rfg+22,05:14:06.73,0.08,rfg+22,-40:02:47.9,0.6,rfg+22,78.52804166666665,-40.046638888888886
218,J0514-4002C,rfg+22,05:14:06.69,0.04,rfg+22,-40:02:49.4,0.3,rfg+22,78.527875,-40.04705555555555
219,J0514-4002D,rfg+22,05:14:06.73,0.05,rfg+22,-40:02:48.2,0.5,rfg+22,78.52804166666665,-40.04672222222222
220,J0514-4002E,rfg+22,05:14:06.68,0.06,rfg+22,-40:02:47.7,0.5,rfg+22,78.52783333333332,-40.04658333333333
221,J0514-4002F,rfg+22,05:14:06.7,0.1,rfg+22,-40:02:48.5,0.8,rfg+22,78.52791666666666,-40.04680555555555
222,J0514-4002G,rfg+22,05:14:06.63,0.05,rfg+22,-40:02:48.1,0.4,rfg+22,78.52762499999999,-40.04669444444444
223,J0514-4002H,rfg+22,05:14:06.6,0.1,rfg+22,-40:02:48,1.0,rfg+22,78.52749999999999,-40.04666666666667
224,J0514-4002I,rfg+22,05:14:06.75,0.07,rfg+22,-40:02:48.2,0.6,rfg+22,78.52812499999999,-40.04672222222222
225,J0514-4002J,rfg+22,05:14:06.7,0.2,rfg+22,-40:02:48,2.0,rfg+22,78.52791666666666,-40.04666666666667
226,J0514-4002K,rfg+22,05:14:06.8,0.2,rfg+22,-40:02:48,2.0,rfg+22,78.52833333333332,-40.04666666666667
227,J0514-4002L,rfg+22,05:14:06.8,0.1,rfg+22,-40:02:48.0,0.8,rfg+22,78.52833333333332,-40.04666666666667
229,J0514-4002N,rfg+22,05:14:06.7,0.1,rfg+22,-40:02:47,1.0,rfg+22,78.52791666666666,-40.046388888888885
230,J0514-4408,bcm+16,05:14:52.190,0.003,brs+19,-44:08:37.38,0.02,brs+19,78.71745833333333,-44.14371666666666
231,J0517+2212,cha03,05:17:17.147,0.002,bfrs18,+22:12:51.9,0.2,bfrs18,79.32144583333331,22.214416666666665
