No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
3055,J1954+4357,slr+14,19:54:38.449,0.0062,lsk+18,+43:57:37.37,0.071,lsk+18,298.6602041666666,43.96038055555556
3056,J1955-0907,mss+20,19:55:57,0.0,mss+20,-09:07:14,0.0,mss+20,298.98749999999995,-9.120555555555557
3057,J1955+2527,dfc+12,19:55:59.39523,7e-05,dfc+12,+25:27:03.443,0.002,dfc+12,298.997480125,25.450956388888887
3058,J1955+2908,bbf83,19:55:27.875263,7.3e-06,aab+21a,+29:08:43.43329,0.00011,aab+21a,298.86614692916663,29.145398136111112
3059,J1955+2912g,hww+21,19:55:23,8.0,hww+21,+29:12,2.0,hww+21,298.8458333333333,29.2
3060,J1955+2930,psf+22,19:55:07.527,0.009,psf+22,+29:30:49.80,0.16,psf+22,298.7813625,29.513833333333334
3061,J1955+5059,dth78,19:55:18.7637,0.0013,hlk+04,+50:59:55.292,0.013,hlk+04,298.82818208333333,50.998692222222225
3062,J1955+6708,slr+14,19:55:38.76695,0.00012,lsk+18,+67:08:15.1306,0.0007,lsk+18,298.9115289583333,67.13753627777778
3064,J1956+0838,ebvb01,19:56:52.26,0.02,ebvb01,+08:38:16.8,0.4,ebvb01,299.21774999999997,8.638
3065,J1956-2752,kkl+15,19:56:28,0.0,mss+20,-27:52:56,0.0,mss+20,299.1166666666667,-27.88222222222222
3066,J1956+2826g,hww+21,19:56:47,8.0,hww+21,+28:26,2.0,hww+21,299.1958333333333,28.433333333333334
3067,J1957-0002,scb+19,19:57:42.620,0.007,tbc+20,-00:02:06.8,0.2,tbc+20,299.4275833333333,-0.035222222222222224
3068,J1957+2516,lbh+15,19:57:34.6115,0.0003,sab+16,+25:16:02.076,0.003,sab+16,299.3942145833333,25.267243333333333
3069,J1957+2831,llc98,19:57:19.397,0.0077,hlk+04,+28:31:43.84,0.14,hlk+04,299.3308208333333,28.528844444444445
3070,J1957+5033,sdz+10,19:57:38.9,0.8,sdz+10,+50:33:18,9.0,sdz+10,299.4120833333333,50.555
3071,J1958+2846,aaa+09c,19:58:40.07,0.03,rkp+11,+28:45:54,1.0,rkp+11,299.6669583333333,28.765
3072,J1958+3033,pab+18,19:58:06.82,0.01,psf+22,+30:33:52.7,0.2,psf+22,299.5284166666666,30.56463888888889
3074,J1959+2048,fst88,19:59:36.76988,5e-05,aft94,+20:48:15.1222,0.0006,aft94,299.90320783333334,20.804200611111114
3075,J1959+3620,bck+13,19:59:38.03,0.02,bck+13,+36:20:29.1,0.3,bck+13,299.90845833333333,36.34141666666667
3076,J2000+2920,pab+18,20:00:16.508,0.006,psf+22,+29:20:07.47,0.12,psf+22,300.0687833333333,29.335408333333334
3077,J2001-0349,sfj+20,20:01:53.31,0.03,sfj+20,-03:49:43.5,1.5,sfj+20,300.47212499999995,-3.82875
3078,J2001+0701,mzl+23,20:01:50.95896,3e-05,mzl+23,+07:01:39.6450,0.0013,mzl+23,300.46232899999995,7.027679166666666
3079,J2001+4258,slr+14,20:01:10.590,0.004,lsk+18,+42:58:06.26,0.067,lsk+18,300.29412499999995,42.968405555555556
3080,J2002+1637,nft95,20:02:47.77,0.07,cn95,+16:37:16.7,1.1,cn95,300.69904166666663,16.621305555555555
3081,J2002+30,cnst96,20:02:58,16.0,cnst96,+30:35,5.0,cnst96,300.7416666666667,30.583333333333332
3082,J2002+3217,cl86,20:02:04.424,0.0092,hlk+04,+32:17:18.31,0.14,hlk+04,300.51843333333335,32.28841944444444
3083,J2002+4050,stwd85,20:02:44.030,0.0029,hlk+04,+40:50:53.91,0.033,hlk+04,300.6834583333333,40.848308333333335
3084,J2003+2916,psf+22,20:03:03.194,0.006,psf+22,+29:16:00.96,0.11,psf+22,300.76330833333327,29.266933333333334
